fname,date,M10_hour,M10_mean_activity,M10_actual_activity,L5_hour,L5_mean_activity,L5_actual_activity
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-06,17.0,139.32049561971306,241.3922063633604,3.0,56.34071410780521,46.3901083517172
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-07,17.0,113.19810017494878,296.82495856894394,3.0,68.52870056281982,65.5911832599542
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-08,15.0,163.04985561053712,267.9788387361495,4.0,60.11788942030725,16.50818320008017
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-09,16.0,147.17844992163288,328.57863430694795,3.0,67.76724664450909,44.34577864540838
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-10,14.0,131.08453679101987,155.65127236762189,5.0,92.21456265035141,52.29555795101384
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-11,15.0,140.4834963259072,259.55329121633525,3.0,87.53912362714416,80.36591691536844
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-12,20.0,85.48137859151201,262.40109024018653,4.0,16.22801077824601,16.31890330833261
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-13,7.0,16.031976749289854,16.570331587267585,17.0,15.663690876504033,15.597545967637929
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-14,10.0,44.13612783343105,110.8944614550274,18.0,15.674924246507183,15.553419167709286
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-15,11.0,103.64521205826783,216.43320504087268,2.0,59.97104424456104,40.524970401976155
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-16,11.0,168.10392030226865,444.1412782145883,0.0,58.32844420175168,29.772670942068665
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-17,15.0,195.05446212309843,491.7557773036711,3.0,69.41175020345679,56.713405148513054
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-18,15.0,139.42832986539105,201.4518817256721,4.0,88.32451882234801,29.356159956461493
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-19,19.0,143.11271216529386,283.9271655956342,5.0,81.00638208498845,81.18851826478253
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-20,20.0,144.36380443688807,367.48133662659313,5.0,15.805293734125204,15.84156356129328
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-21,14.0,98.54949066612619,378.7480036100521,4.0,15.474303837037997,15.294544187309707
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-22,14.0,107.31336972906544,222.796687627157,3.0,35.21521018485229,15.232930991961698
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-23,14.0,109.55143012942253,121.0287292147223,3.0,59.78353180659464,29.9634401269381
dan-wearing-evice-17-days-with-some-missing-nights-2026-03-24 08-32-30_60s.csv,2026-03-24,,,,,,
